"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"GS Surf D B03",790,1.27,0.74,38,"WA","Bothel","RCL B03 Div 5","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 2"
"Emerald City FC Blue B03",787,1.01,0.9,8,"WA","Seattle","","Spr PSPL Copa U14",""
"ISC Gunners Select B03",784,1.2,0.75,24,"WA","Issaquah","PSPL Copa U14","Spr PSPL Copa U14",""
"WUSC Navy B03",783,1.22,0.73,31,"OR","Willamette","PTT B03 Div 2 White","Spr OYS B03 Div 2 White","OYS Founders Cup B03"
"Walla Walla United B03",758,2.18,0.34,18,"WA","Walla Walla","PSPL-Inland Copa 2 U14","Spr PSPL-Inland Copa 1 U14",""
"TC United White B03",735,1.15,0.56,29,"WA","Lacey","PSPL Copa U14","Spr PSPL Copa U14","WA Cup U14 Bronze U14"
"PCU Silver B03",706,1.04,0.5,20,"OR","Portland","PTT B03 Div 2 White","Spr OYS B03 Div 2 White",""
"NWSC Deception FC B03",699,0.94,0.53,12,"WA","Oak Harbor","NPSL Div 3 (03) U14","",""
"Crossfire Select Brown B03",676,0.77,0.55,20,"WA","Redmond","NPSL Div 2 (03) U14","","Founders Cup B03 Div A"
"THUSC Beryllium Green B03",674,0.85,0.49,31,"OR","Beaverton","PTT B03 Div 2 White","Spr OYS B03 Div 2 White","OYS Founders Cup B03"
"Sting SC Timbers White B03",672,1.05,0.39,19,"ID","Coeur D'Alene","IPL East U13, IPL East U14, IPL East U15","Spr IPL East U13, Spr IPL East U14",""
"West Narrows Red B03",638,0.65,0.5,24,"WA","Gig Harbor","PSPL Copa U14","Spr PSPL Copa U14",""
"BIFC White B03",635,0.56,0.57,22,"WA","Bainbridge Island","NPSL Div 3 (03) U14","",""
"SSC Shadow Elite Sonko B03",618,0.89,0.32,10,"WA","Spokane Valley","IPL East U14, IPL East U15","Spr IPL East U14",""
"Wenatchee Valley United Equipo Relampago B03",617,0.67,0.42,18,"WA","Othello","PSPL-Inland Copa 2 U14","Spr PSPL-Inland Copa 2 U13",""
"Meridian United Purple B03",613,0.46,0.59,26,"ID","Meridian","Idaho D3 Div 2 East U14","Spr Idaho D3 U14 Div 2",""
"SSC Shadow United B03",611,0.99,0.27,16,"WA","Spokane","IPL East U13, IPL East U14","Spr IPL East U14",""
"FC Spokane Black Sossaman B03",559,0.98,0.19,14,"WA","Spokane","IPL East U13, IPL East U14","Spr IPL East U13, Spr IPL East U14",""
