"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"GPS Oregon B02",1438,12.66,6.57,32,"OR","","PTT B02 Div 1 Green","Win OYS B02 Premier White","OYS State Cup B02"
"Tynecastle FC B02",1436,15.27,5.36,17,"WA","Everett","PSPL WSPL 2 U15","","WA Cup HS Gold U15"
"FC Portland Navy B02",1433,10.21,7.88,45,"OR","Portland","PTT B02 Premier","Win OYS B02 Premier Green","OYS State Cup B02"
"River Plate SC River A B02",1425,13.18,5.76,36,"OR","NE Portland","PTT B02 Premier","Win OYS B02 Premier Green","OYS State Cup B02"
"Idaho Rush Premier B02",1419,10.5,6.97,18,"ID","Boise","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U15/16 Div 1",""
"Blackhills FC Black B02",1416,11.58,6.18,31,"WA","Olympia","RCL B02 Div 3","","WYS Presidents Cup B02 Div 1"
"Crossfire Select Luna B02",1413,8.79,7.96,29,"WA","Redmond","NPSL Div 1 (02) U15","","Founders Cup B02 Div A"
"Slammers Orange B02",1400,9.81,6.5,32,"WA","Auburn","RCL B02 Div 3","","WYS Presidents Cup B02 Div 2"
"Seattle United Samba B02",1392,8.46,7.15,27,"WA","Seattle","RCL B02 Div 3","","WYS Presidents Cup B02 Div 1"
"River Plate SC River B B02",1391,9.68,6.23,17,"OR","NE Portland","PTT B02 Div 1 White","","OYS Founders Cup B02"
"Eastside FC Blue B02",1391,9.74,6.18,24,"WA","Preston","RCL B02 Div 4","","WYS Presidents Cup B02 Div 2"
"TC United Navy B02",1384,10.45,5.49,29,"WA","Lacey","PSPL Classic 1 West U15","","WA Cup HS Silver U15"
"Eastside Timbers Black B02",1384,8.13,7.04,44,"OR","Gresham","PTT B02 Div 1 White","Win OYS B02 Premier White","OYS State Cup B02"
"Westside Timbers Samba B02",1378,10.37,5.31,41,"OR","Beaverton","PTT B02 Premier","Win OYS B02 Premier White","OYS State Cup B02"
"Dragons FC B02",1378,10.29,5.35,43,"WA","Seattle","PSPL WSPL 1 U15","","NWCL 02, WA Cup HS Gold U15"
"Wenatchee Valley United Fire B02",1376,8.06,6.74,24,"WA","Wenatchee","PSPL WSPL 1 U15","","NWCL 02, WA Cup HS Gold U15"
"WPFC White B02",1375,10.14,5.31,33,"WA","Tacoma","RCL B02 Div 3","","WYS Presidents Cup B02 Div 1"
"WA Rush B02",1372,10.96,4.81,36,"WA","Everett","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"Pacific FC Elite B02",1372,10.56,4.98,31,"WA","Battle Ground","PTT B02 Div 1 Green","Win OYS B02 Premier White",""
"GS Surf C B02",1359,8.33,5.78,29,"WA","Bothel","RCL B02 Div 3","","WYS Presidents Cup B02 Div 1"
